6026 i
5662 you
4447 the
4218 to
3669 a
2647 and
2270 it
1959 that
1821 of
1671 in
1637 this
1575 is
1555 i'm
1439 my
1426 what
1328 no
1317 so
1283 me
1253 we
1249 oh
1232 it's
1193 just
1192 was
1144 know
1143 have
1118 not
1109 on
1051 for
1033 do
1026 but
972 your
965 don't
912 ted
890 with
874 be
873 yeah
866 are
825 you're
821 all
773 like
756 out
755 get
744 right
736 up
728 going
718 okay
657 go
640 at
624 well
619 that's
604 about
603 her
565 one
552 got
549 want
538 really
538 here
536 she
523 if
516 hey
494 marshall
490 how
488 there
476 lily
474 think
464 now
452 can
436 he
425 good
423 did
402 why
397 look
393 come
387 guys
383 barney
381 back
376 robin
373 we're
351 gonna
350 see
347 when
332 love
331 can't
328 say
326 time
318 some
317 had
316 uh
309 tell
308 an
303 would
303 god
301 him
300 who
292 been
290 great
289 she's
289 didn't
286 yes
286 mean
284 were
280 should
280 never
279 from
278 way
278 night
273 as
271 then
270 guy
269 two
268 could
263 i'll
259 make
259 he's
253 sorry
253 or
251 new
251 little
250 us
250 even
248 take
245 girl
243 too
243 because
239 our
237 need
236 they
235 wait
225 something
223 thing
223 there's
219 call
217 let's
215 am
211 first
208 i've
206 down
205 only
204 will
204 by
203 over
189 still
188 man
188 his
184 um
181 wow
177 more
177 doing
175 what's
175 off
175 maybe
172 where
172 has
170 kind
169 said
168 married
167 much
165 three
164 baby
161 them
159 story
157 let
157 ever
157 again
156 sure
156 best
154 getting
153 nice
152 big
151 any
150 please
150 dude
149 day
148 tonight
148 hi
146 life
145 party
145 crazy
144 thanks
144 doesn't
144 believe
143 people
142 totally
141 work
141 kids
140 give
140 actually
139 thank
139 into
139 fine
136 pretty
136 last
136 before
135 thought
134 those
134 other
134 guess
133 they're
132 awesome
130 wedding
130 place
129 met
126 these
126 sex
121 you've
121 made
120 than
120 number
119 lot
119 home
117 things
117 does
117 anything
116 long
116 always
115 hot
114 next
114 after
113 fun
112 friend
112 bad
111 together
109 put
109 name
109 cool
108 friends
